"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"4449","503 Forest Pkwy",33.620892,-84.373553,33.0673076923077,43793.375,104,52783,8471,31409,2296,7587,3020
"4450","5032 Annistown Rd",33.805809,-84.090507,35.2739583333333,71470.0520833333,96,65962,28218,25144,3855,6678,2067
"4451","5035 Georgia Highway 400",34.292505,-84.075256,38.3506944444444,73145.6795774648,288,140290,97115,17494,5642,17346,2693
"4452","504 Arnold Mill Rd",34.118125,-84.470601,39.0440909090909,82446.6181818182,220,125581,89047,15322,6430,10816,3966
"4453","504 Commerce Dr",33.398548,-84.59184,42.0852713178295,97100.1782945736,129,75819,53109,12984,2881,4619,2226
"4454","504 E Main St",32.599993,-82.319427,38.437908496732,42987.6357142857,153,31355,18999,9208,332,1875,941
"4455","504 Hayes Lake Rd",33.957456,-83.585622,36.6846975088968,63222.8185053381,281,96759,68524,13087,2732,10532,1884
"4456","504 Perry Pkwy",32.487171,-83.730702,38.2029411764706,55531.6544117647,136,66210,40190,19722,804,4141,1353
"4457","504 W Franklin St",31.531111,-83.843848,39.9560846560847,58017.1165644172,189,70443,45532,17526,2151,3844,1390
"4458","5040 Highway 5",33.668671,-84.805023,40.979718875502,75027.3955823293,498,149985,89493,42766,3546,10435,3745
"4459","5040 Highway 76",34.780587,-84.861667,38.2241877256318,55710.5198555957,277,110381,79293,6474,3288,18960,2366
"4460","5041 Snapfinger Woods Dr",33.711356,-84.184919,35.3645739910314,56353.7214611872,223,109684,17370,79923,4135,6286,1970
"4461","5044 Lawrenceville Hwy NW",33.889108,-84.147136,37.0694300518135,73687.4507772021,193,139133,50860,35094,21550,26805,4824
"4462","5045 Singleton Rd",33.913981,-84.163322,32.7471631205674,55763.8617021277,282,156931,40496,40234,19636,52783,3782
"4463","5048 Buford Hwy",33.890088,-84.28635,35.3,64958.1590909091,88,54975,21743,14094,4422,13410,1306
"4464","5048 Ga 135",32.080616,-82.480185,44.15,48077.8,24,10593,7439,2465,233,324,132
"4465","505 Dacula Rd",34.000013,-83.90669,37.2804258804259,87041.7148726376,1221,383905,229929,79468,19529,46259,8720
"4466","505 Highway 34 W",33.381304,-84.851393,41.24128113879,64413.4555160142,281,116988,80847,19948,2909,9520,3764
"4467","505 Historic Hwy 441",34.543078,-83.544944,41.5971354166667,60398.3858885017,2304,664072,490322,70533,20167,66915,16135
"4468","505 Pleasant Hill Rd NW",33.910987,-84.11423,37.7457142857143,69321.9142857143,70,41630,11336,9714,5100,14592,888
"4469","505 Twin Mill Dr",34.244883,-83.543214,43.8853658536585,66788.0487804878,41,21504,17653,612,119,2646,474
"4470","505 Us 25 N",32.805384,-81.94933,42.6685714285714,36156.7333333333,105,25268,17046,6085,132,1561,444
"4471","505 Vernon St",33.038419,-85.039171,38.9106666666667,56358.0439189189,300,112999,72454,30886,3291,3946,2422
"4472","505 Veterans Pkwy S",31.172299,-83.760927,39.0373060211049,45547.5034396498,1611,240567,154230,54274,3330,25380,3353
"4473","5050 Sugarloaf Pkwy",33.95834,-84.058435,36.4564516129032,72705.7043035632,2170,1020925,493451,271446,81783,148879,25366
"4474","5052 McEver Rd",34.233655,-83.8978,38.199504950495,64370.5445544554,202,96303,59348,10148,3096,21476,2235
"4475","5052 New Jesup Hwy",31.219153,-81.520013,41.937981779958,67853.3715728716,1427,900601,603184,136788,27057,107048,26524
"4476","5054 Highway 155 N",33.585006,-84.149088,38.7275,73233.99375,160,105574,46406,46334,2777,7050,3007
"4477","5055 New Jesup Hwy",31.218643,-81.520957,40.3292910447761,69284.0423076923,536,353293,226571,47367,17314,50988,11053
"4478","506 E Parker St",31.776338,-82.340596,38.7273399014778,45948.9975124378,406,96835,65472,17218,1620,9943,2582
"4479","506 Jesse Jewell Pkwy SW",34.295081,-83.82975,38.3344748858447,60613.4032258065,438,257466,165163,23403,6739,55467,6694
"4480","5065 Stone Mountain Hwy",33.825246,-84.104534,38.3963465553236,75002.8108957569,1916,869175,362629,336390,52000,94474,23682
"4481","5068 Maysville Rd",34.230601,-83.499782,39.9528301886792,56035.3773584906,53,28273,20199,3488,845,3226,515
"4482","5068 Maysville Rd",34.230697,-83.4998,38.6072463768116,55242.9492753623,138,74424,45666,14541,1670,10564,1983
"4483","507 Church St",32.337156,-81.392459,33.5295081967213,59497.5789473684,61,36288,24803,8127,287,1552,1519
"4484","507 Church St",32.337241,-81.392424,34.8,73750,4,6774,3246,2593,109,350,476
"4485","507 City Blvd",31.231359,-82.341523,41.05,29351.5,8,2036,896,834,182,117,7
"4486","507 City Blvd",31.231397,-82.341524,37.3777777777778,45558.4285714286,18,7077,5798,707,0,464,108
"4487","507 Highway 441 Byp",34.497699,-83.539742,38.9187692307692,52318.7815384615,325,104696,83722,3972,1733,12841,2428
"4488","507 Joseph E Lowery Blvd SW",33.740954,-84.418115,38.276875,59667.0135135135,165,107586,39136,50331,5252,8689,4178
"4489","507 S Jefferson St",31.699546,-83.655617,34.9509090909091,36078.4878048781,55,15248,7371,6177,115,1382,203
"4490","507 Turner McCall Blvd NE",34.260753,-85.17548,39.8889925373134,54133.1931166348,536,187437,131621,31123,3422,15655,5616
"4491","5070 Ga 125",31.557174,-83.48883,41.4197604790419,51574.802919708,167,43544,31812,6345,473,4381,533
"4492","508 Watson Blvd",32.619359,-83.605136,38.8760784313725,64027.9123505976,255,141736,88165,35582,5526,8834,3629
"4493","5080 Bill Gardner Pkwy",33.352903,-84.115518,38.2352941176471,61152.7450980392,51,37854,22332,11968,500,2656,398
"4494","5080 Bill Gardner Pkwy",33.35308,-84.115629,36.7704188481675,60812.4894179894,382,165782,90630,55814,3378,10938,5022
"4495","5084 Old National Hwy",33.616709,-84.472428,35.9508806262231,55637.5631262525,511,317923,81942,198399,5826,24428,7328
"4496","5090 Highway 136",34.869093,-85.51781,42.7372213967311,55440.9694889397,1346,405429,318161,40193,8189,28913,9973
"4497","5091 Highway 136",34.870049,-85.51783,42.4013774104683,58085.9063400576,726,306816,250487,29051,4761,16494,6023
"4498","5091 Highway 136",34.870084,-85.517799,42.3995535714286,60962.5849056604,224,90165,75754,7938,534,3851,2088
"4499","5095 Oakbrook Pkwy",33.923207,-84.172106,36.4115141955836,70731.0402116402,1902,1163955,553629,290579,90772,198846,30129
"4500","5095 Stone Mill Way",33.817686,-84.180418,36.0371621621622,59203.4391891892,148,74095,26392,35649,2041,8228,1785
"4501","5097 W Fayetteville Rd",33.616528,-84.45037,36.7347003154574,57650.1387096774,317,200793,67549,101649,6273,19244,6078
"4502","51 Cadillac Pkwy",33.901987,-84.801638,37.5104089219331,60999.219330855,269,163238,107517,36427,2209,11675,5410
"4503","510 N Madison St",30.841129,-83.985458,39.0831168831169,39384.2112676056,77,30774,14837,9471,414,5171,881
"4504","510 Peachtree Pkwy",34.15062,-84.174712,39.5627065302911,110746.361045131,2542,873621,594491,97141,76724,82294,22971
"4505","510 S Harris St",32.973896,-82.809432,41.8783570300158,45949.6366559486,633,140449,88147,39929,1761,7883,2729
"4506","510 Valley Hill Road",33.572072,-84.406484,32.7327868852459,49028.8055555556,122,57200,12766,36489,1804,4923,1218
"4507","5100 Cascade Palmetto Hwy",33.617971,-84.671678,40.4666666666667,72109.3333333333,24,19410,6435,11086,179,987,723
"4508","5101 Wrightsboro Rd",33.458141,-82.194242,36.0932379713914,64910.2836601307,769,227890,127219,68785,7459,16480,7947
"4509","5101 Wrightsboro Rd",33.458451,-82.194334,34.8505681818182,64101.0958083832,176,71544,39025,19721,1441,8255,3102
"4510","5105 McEver Rd",34.232785,-83.897364,37.065625,66466.35,224,134969,91287,16746,4247,20263,2426
"4511","5106 Georgia 98",34.092299,-83.145733,42.189358372457,51572.646031746,639,184232,136271,28606,2518,13488,3349
"4512","5109 Stone Mountain Hwy",33.824723,-84.106256,40.0204444444444,78379.7777777778,225,161680,56540,83670,5598,12193,3679
"4513","511 E Main St Ste 100",34.867741,-84.322251,29.6,70265,4,2854,2245,197,412,0,0
"4514","511 Furys Ferry Rd",33.538049,-82.079333,42.2516447368421,87107.7269736842,304,122886,82117,24099,4651,7068,4951
"4515","511 Furys Ferry Rd",33.538133,-82.079114,42.4358974358974,78998.4102564103,117,55168,37585,11297,2546,1986,1754
"4516","511 US Highway 80 W",32.094282,-81.147471,38.3089743589744,60534.0285714286,78,66974,37097,21777,1313,4337,2450
"4517","5110 Browns Bridge Rd",34.248959,-84.060218,40.3525597269625,83425.9553264605,586,279698,207969,24970,10925,31024,4810
"4518","5110 Old National Hwy",33.616086,-84.472279,35.5725531914894,53553.1048034935,470,303247,61906,200857,7330,24807,8347
"4519","5111 Old Dixie Hwy",33.615069,-84.383814,37.8765853658537,78383.6113989637,205,147745,55464,65957,4496,17463,4365
"4520","5114 River Rd",32.513626,-84.983552,40.3882352941176,113591.666666667,34,19175,12376,3072,1155,1311,1261
"4521","5115 Dallas Hwy",33.940385,-84.702344,39.5334829443447,88743.0972972973,1114,434796,286996,84445,8692,42437,12226
"4522","512 Us 84",30.936842,-83.008603,40.7331269349845,45098.3279742765,323,119647,82475,22898,1739,10353,2182
"4523","5120 Thompson Bridge Rd",34.410844,-83.897357,41.2376744186047,59432.8994974874,215,67014,56087,3402,2240,4075,1210
"4524","5127 Mercer University Dr",32.832755,-83.729886,31.2,30233,4,4185,252,3758,27,112,36
"4525","5127 Mercer University Dr",32.832762,-83.729726,38.5582278481013,61118.8741935484,632,410152,242967,105061,16751,35676,9697
"4526","513 W Ogeechee St",32.74659,-81.644937,40.225,45747.3529411765,68,16411,10121,5397,100,524,269
"4527","5130 GA Highway 219",32.673493,-85.058298,43.3965397923875,76128.7024221453,289,118058,77979,26837,2609,6872,3761
"4528","5131 Old Mike Padgett Hwy",33.24919,-81.95624,36.3486772486772,49308.9735449735,189,52461,28281,18501,891,2799,1989
"4529","5136 Joe Frank Harris Pkwy NW",34.345225,-84.90965,40.2281914893617,58117.4732142857,376,112939,90026,8926,2474,8851,2662
"4530","514 Arnold Mill Rd",34.117845,-84.469358,39.3904320987654,89215.4351851852,324,158026,119458,9593,3981,20192,4802
"4531","514 Buckeye Rd",32.556687,-82.872873,39.3161904761905,40169.3366336634,105,26668,15628,9922,28,860,230
"4532","514 S Davis St",31.201097,-83.250561,40.7285256410256,43195.3084415584,312,49334,36906,7501,342,3624,961
"4533","5141 Ga 23",33.114438,-81.85421,37.6190775681342,57629.2494714588,477,159027,99722,42706,1914,10054,4631
"4534","5141 Highway 81",33.853733,-83.875136,37.881914893617,70715.9680851064,282,118624,76416,25871,4671,8527,3139
"4535","5142 Washington Rd",33.570436,-82.191829,38.3708808290155,86306.776384535,965,266937,166858,67869,7159,16064,8987
"4536","5145 Madison Hwy",30.6967,-83.312673,40.2874626865672,44397.1641791045,335,91738,67601,15656,837,6113,1531
"4537","5148 Highway 278 NW",33.60499,-83.870557,30.8,36974,4,2990,830,1801,0,359,0
"4538","5148 Highway 278 NW",33.605237,-83.87065,39.165988372093,66006.976366322,1376,652467,383705,177412,22853,50822,17675
"4539","515 26th Ave SE",31.137757,-83.780138,41.7736842105263,57794.3684210526,38,23790,15523,5051,545,2205,466
"4540","515 E Broadway St",33.250796,-84.255891,35.4439024390244,42556.6341463415,41,16335,8715,6390,20,983,227
"4541","5150 Annistown Rd",33.808096,-84.096191,36.9013636363636,66759.0181818182,220,131566,46113,64680,7484,9070,4219
"4542","5152 US Highway 17",31.384699,-81.432693,43.1369426751592,52950.0986842105,157,67557,41478,18304,1423,4365,1987
"4543","5154 Browns Mill Rd",33.671328,-84.179513,38.0092391304348,62376.156424581,184,106869,36098,59125,2269,7293,2084
"4544","5155 Warm Springs Rd",32.53646,-84.904923,36.9890572390572,59050.3208191126,594,176125,101209,53563,3710,11183,6460
"4545","516 Dallas Hwy",33.742558,-84.920167,36.5451612903226,63721.9032258065,62,44593,28645,10911,1237,2016,1784
"4546","516 Dallas Hwy",33.742563,-84.920178,40.8333333333333,58469.3333333333,12,9360,6534,1795,421,218,392
"4547","516 Lee St SW",33.740789,-84.413628,36.553982300885,47832.2831858407,113,61169,15491,37822,1149,5115,1592
"4548","516 W Roanoke Dr",31.705437,-83.260741,41.2232558139535,43830.9871794872,86,41419,25554,8765,2337,3765,998
"4549","5160 Austell Rd",33.828264,-84.614669,34.7630136986301,63187.1095890411,73,39397,17001,14249,1053,5967,1127
"4550","5160 Cleveland Hwy",34.444338,-83.80576,42.6459161147903,62826.3919821826,453,107644,88970,3066,1061,12440,2107
"4551","5160 Cowan Rd",34.077565,-84.652919,39.98,64794.7648648649,370,252635,187772,35724,7024,16349,5766
"4552","5160 S Cobb Dr SE",33.827282,-84.492129,37.5320837927233,68257.0642615558,907,533616,251475,200565,16271,52085,13220
"4553","5161 Austell Rd",33.828412,-84.613331,35.7341463414634,58146.674796748,123,75395,30213,32273,1956,8855,2098
"4554","517 E Midland Ave",33.97356,-83.689518,37.5656330749354,63273.0568475452,387,190513,131934,28217,6442,18827,5093
"4555","517 Hamilton Rd",33.029075,-85.02368,37.3142857142857,44747.1428571429,28,21560,9160,9948,296,1717,439
"4556","517 Perry Pkwy",32.492262,-83.739562,40.3111969111969,61704.5474806202,1036,504638,333845,91678,13995,50136,14984
"4557","517 S Elm St",34.189488,-83.44499,38.5798969072165,51801.206185567,194,65515,49631,9070,1115,4033,1666
"4558","517 W 6th St",33.087786,-82.021851,38.5279411764706,36652.4736842105,68,19179,9340,8561,153,728,397
"4559","5175 S Old Peachtree Rd",33.969509,-84.207459,37.4369230769231,73817.1639344262,65,47006,25430,9516,5155,4897,2008
"4560","518 N Main St",32.142924,-81.624473,35.5460317460317,50049.7049180328,126,43612,30196,7997,747,3144,1528
"4561","5180 N Henry Blvd",33.546266,-84.24819,37.0781065088757,62789.5266272189,169,141252,45792,75101,4981,11035,4343
"4562","5181 S Cobb Dr SE",33.828953,-84.491577,38.195358649789,69119.1974248927,237,146450,63482,59284,6546,12202,4936
"4563","5181 W Fayetteville Rd",33.613973,-84.449693,36.9834319526627,55974.1065088757,173,118469,28639,72752,5432,9048,2598
"4564","5182 US Highway 17",31.385308,-81.433082,45.0433333333333,51745.9537572254,180,41414,25397,12002,906,2266,843
"4565","5184 Austell Rd",33.827529,-84.615236,35.9423076923077,57094.625,104,50725,19510,21291,1290,7602,1032
"4566","5185 US Highway 17",31.385025,-81.433367,44.750234741784,54322.038277512,213,80424,46900,16543,2011,12205,2765
"4567","519 Reed Rd",34.807611,-84.974626,42.9377358490566,59168.9795918367,53,22122,18742,429,299,2389,263
"4568","5191 S Cobb Dr SE",33.827778,-84.491085,37.9428118393235,69804.6766595289,946,692977,357541,208050,26449,80531,20406
"4569","5194 Thompson Bridge Rd",34.413572,-83.900703,42.9361445783133,64287.5443037975,83,42842,34053,1339,320,6322,808
"4570","5195 State Road 42",33.613397,-84.306181,36.8814814814815,56662.9386792453,216,154688,57463,72034,7792,12502,4897
"4571","5195 Towne Lake Pkwy",34.128191,-84.585374,40.643216080402,87953.4519392917,597,282791,210697,30528,7501,26540,7525
"4572","5198 Georgia Highway 85",33.612984,-84.402263,35.9182926829268,63463.4462025316,328,197824,70713,92319,9139,20502,5151
"4573","52 NW Broad St",33.568265,-84.580111,35.4515151515152,61866.3851351351,165,83236,21968,52229,1284,6138,1617
"4574","52 S Broad St",33.565859,-83.903101,37.8835714285714,57692.7783251232,420,172907,85739,68542,2570,11210,4846
"4575","52 Us 341",32.720677,-84.012941,42.5534482758621,48971.8189655172,116,47010,29476,13956,832,1859,887
"4576","520 Cobb Pkwy N",33.964106,-84.531747,39.3167553191489,75794.3179347826,376,241567,159594,41000,8493,23856,8624
"4577","520 Macon Hwy",33.920613,-83.385101,36.4015267175573,66526.8818897638,131,69706,49018,11468,2889,3950,2381
"4578","520 Marietta Rd",34.226853,-84.49272,36.9444444444444,70608.6666666667,72,48471,37393,2677,512,6737,1152
"4579","520 W Parker St Ste B",31.781532,-82.356711,39.4828244274809,45023.1085271318,262,40756,25561,8870,1134,4645,546
"4580","520 W Pike St",33.962187,-84.007196,39.1454081632653,76634.8673469388,196,167309,82246,45239,11224,23891,4709
"4581","5200 U.s. 319",32.878973,-82.474073,42.4114864864865,42454.722972973,148,42174,24924,13173,655,2803,619
"4582","5201 Browns Bridge Rd",34.264317,-83.932987,40.4205357142857,75091.6160714286,112,56592,39514,4286,1749,9847,1196
"4583","5206 Cleveland Hwy",34.445411,-83.80509,41.9448051948052,62684.98,154,56260,45661,2276,905,6199,1219
"4584","5209 W Fayetteville Rd",33.613304,-84.449236,37.3673170731707,51491.0975609756,205,104586,30438,62974,2437,6267,2470
"4585","521 S Slappey Blvd",31.569085,-84.176503,37.889,39946.5729166667,100,48159,19497,25547,1045,1385,685
"4586","521 Shirley Ave",31.500712,-82.862037,37.4540540540541,42237.7837837838,37,14953,10109,2985,187,1643,29
"4587","521 Sparta Hwy NE",33.086209,-83.154055,40.7375,48796.25,32,11600,6773,4517,8,102,200
"4588","5210 Highway 42",33.612795,-84.304836,35.7233576642336,55473.3984962406,137,85117,26708,45609,2256,7300,3244
"4589","522 Main St",31.951117,-83.448534,40.1678431372549,44543.2941176471,255,34973,21202,11023,249,1737,762
"4590","522 N Wall St",34.509194,-84.950022,38.1350877192982,50373.1052631579,57,33062,24752,1427,721,5369,793
"4591","5220 GA Highway 96 W",32.62061,-83.370775,40.7155300472654,60309.9924914676,1481,781436,491167,192755,18968,56982,21564
"4592","5220 S Cobb Dr SE",33.826665,-84.491801,38.414585908529,74013.7591888466,809,501865,268644,156856,15446,47290,13629
"4593","5221 Ga 138",33.734208,-83.876262,40.5370165745856,63088.5414364641,181,70720,51297,12226,976,4650,1571
"4594","5221 Old Highway 138",33.739492,-83.876124,46.4,34359,4,1712,1051,616,0,38,7
"4595","5224 Columbia Dr",33.61087,-85.103176,32.810989010989,49949.4252873563,91,39755,25184,8986,458,3448,1679
"4596","5225 Campbellton Rd SW",33.708809,-84.559361,36.004016064257,67400.7755102041,249,121431,28466,78965,1877,10165,1958
"4597","523 Atlantic Ave",33.690989,-85.190257,39.2275616577676,62118.7754996107,3933,2291098,1429975,437419,68858,284903,69943
"4598","5231 Highway 85",33.611945,-84.403387,37.0825581395349,61138.3596837945,258,171903,65737,81433,7810,11608,5315
"4599","5231 Highway 85",33.61195,-84.403435,36.0466666666667,58849.6,120,77510,33151,30320,3057,8592,2390
"4600","5234 Little Refuge Rd",34.338683,-84.575875,44.8568965517241,91774.0689655172,58,36262,27098,4447,466,3647,604
"4601","524 Big a Rd S",34.572083,-83.310771,43.4902366863905,51043.6805111821,338,66209,53276,5794,1922,4055,1162
"4602","524 Flint River Rd",33.517888,-84.408185,33.6844720496894,54626.2292993631,161,73588,11050,51604,1390,7602,1942
"4603","5240 Highway 129 N",34.153324,-83.65087,39.3229752530934,65699.6748866213,3556,1835282,1141708,322225,82140,240744,48465
"4604","5240 Thomson Hwy",33.600935,-82.489669,41.7053811659193,47882.8116591928,223,74270,43774,23981,733,3216,2566
"4605","5241 Holly Springs Rd",34.209547,-83.639626,39.5810945273632,47624.0547263682,201,59477,45476,3558,554,8334,1555
"4606","5245 Bouldercrest Rd",33.611045,-84.286656,38.204132231405,64472.5924369748,242,147675,41323,85359,4155,11869,4969
"4607","5247 Hwy 78",33.70467,-85.182663,39.3679867986799,53457.7448979592,303,99284,79516,11825,1757,3681,2505
"4608","5248 Memorial Dr",33.799067,-84.22129,34.6191176470588,53477.5245098039,204,123494,35637,60729,8744,14721,3663
"4609","525 E Cypress St",31.719252,-81.734607,31.275,54481.5,32,41898,22891,11488,1152,4763,1604
"4610","525 Faceville Hwy",30.903822,-84.581458,39.0048192771084,40479.0602409639,83,27009,12900,10653,130,3078,248
"4611","525 Pacific Ave",33.722626,-85.141042,38.5862776025237,57239.0552845528,634,150289,115096,20688,2001,7997,4507
"4612","525 W Shotwell St",30.90382,-84.581457,39.0607142857143,48019.35,140,36662,20612,13042,169,2160,679
"4613","5250 Riverside Dr",32.932506,-83.715994,37.3,52771.2,20,13027,7511,2945,374,1198,999
"4614","5255 Peachtree Pkwy",33.977509,-84.218535,40.4088836477987,107615.126971609,1272,630710,322640,126928,86598,77876,16668
"4615","5259 Stewart Mill Rd",33.708133,-84.747677,41.1504166666667,73769.2666666667,240,109535,46741,48797,2435,8699,2863
"4616","526 Flint River Rd",33.517684,-84.37471,33.8831395348837,49978.4069767442,172,79953,16635,53174,595,6669,2880
"4617","526 W Cherry St",31.609431,-81.887588,38.5113043478261,53883.6756756757,230,81795,58601,14111,1201,5844,2038
"4618","5260 N Henry Blvd",33.548214,-84.251343,37.7353431686979,67263.6261437909,1559,661912,235539,327711,24067,56220,18375
"4619","5260 Stone Mountain Hwy",33.822823,-84.112649,38.356862745098,72290.4030501089,459,316966,126694,135487,13388,32850,8547
"4620","5264 New Jesup Hwy",31.222866,-81.5238,40.2624031007752,66446.1763565891,516,307246,195568,53210,12190,37461,8817
"4621","5265 Glade Rd SE",34.083489,-84.676986,38.144375,58314.55625,160,83436,58009,12041,1915,9809,1662
"4622","5265 Glade Rd SE",34.083615,-84.676771,40.8863080684597,68886.3814180929,409,236166,182866,21922,6273,18901,6204
"4623","527 E College Ave",33.772305,-84.287951,37.8096774193548,80028.2222222222,31,13892,5124,6151,287,1559,771
"4624","527 Gordon St",31.309497,-82.242481,40.3013698630137,46156.1194029851,73,18393,15564,1429,47,855,498
"4625","5270 Highway 92",33.614888,-84.613002,36.9491336633663,69475.0459183674,808,379257,125676,205837,9494,29352,8898
"4626","5275 Old National Hwy",33.611521,-84.472182,33.1329411764706,54360.8395061728,85,78124,9207,58734,1842,5994,2347
"4627","5278 Ga 136",34.869232,-85.51461,41.8991189427313,63623.6740088106,454,215556,176070,19146,4098,10716,5526
"4628","5278 Highway 136",34.869199,-85.514626,40.4971929824561,64190.2072727273,570,288790,227497,32369,7800,14221,6903
"4629","528 US Highway 80 W",32.093384,-81.147622,38.5755555555556,49259.8888888889,45,41335,19401,16998,1120,2540,1276
"4630","5289 Laurel Island Pkwy",30.825608,-81.663037,40.1309160305344,64923.0197628458,262,129848,91112,19461,2974,12087,4214
"4631","5289 Laurel Island Pkwy",30.825664,-81.662987,38.886170212766,68068.6467391304,188,84679,59666,10916,2000,9877,2220
"4632","529 Patrick Mill Rd SW",33.961098,-83.798309,36.8956772334294,75944.6613138686,694,282073,169409,59390,12179,34113,6982
"4633","5291 Highway 136",34.869861,-85.514307,41.5388768898488,54777.3123595506,463,218931,179188,21603,2458,9721,5961
"4634","5295 Memorial Dr",33.798219,-84.220976,35.838961038961,48903.8961038961,77,48481,8093,30122,5228,2980,2058
"4635","53 Exchange St",31.955487,-81.320532,37.3454477050414,82464.5882352941,1329,372582,231594,75805,11592,37646,15945
"4636","53 Monroe Hwy",33.978398,-83.713258,37.3168949771689,64267.8858447489,219,111040,75816,18060,3364,10725,3075
"4637","530 General Daniel Ave N",34.131512,-83.215131,42.4337837837838,52111.375,296,60253,47101,7321,780,4035,1016
"4638","5300 Macon Hwy",33.827126,-83.437776,42.2082568807339,65130.9357798165,109,47235,30545,9377,503,6212,598
"4639","5300 Riverdale Rd",33.61043,-84.43606,34.2039215686275,57504.068627451,102,55088,15432,25538,2478,9908,1732
"4640","5300 Roswell Rd",33.899812,-84.380965,38.3942857142857,81828.4,140,80868,50644,14212,3653,10839,1520
"4641","5300 Skidaway Rd",32.019481,-81.074344,38.1009009009009,59758.112522686,555,231122,139328,64598,5193,14616,7387
"4642","5303A Wrightsboro Rd",33.455159,-82.207481,35.5054637865311,66997.1753494282,787,160654,90695,45459,3761,14250,6489
"4643","531 Highway 81 SW",33.487621,-83.956589,39.5036363636364,60507.2727272727,55,41881,25601,11951,1180,1888,1261
"4644","5312 Highway 411 S",34.697136,-84.737873,40.4152,58752.724,250,117246,94550,4469,1026,14564,2637
"4645","5315 Gainesville Hwy",34.817187,-83.901468,45.5230769230769,60317.1051282051,390,225927,157330,23798,9052,30016,5731
"4646","5316 Augusta Rd",32.122473,-81.167567,44.5,61993,4,1692,1403,192,0,97,0
"4647","5320 Atlanta Hwy",34.153865,-84.250876,38.8472,105747.52,125,76496,54224,5774,4938,9972,1588
"4648","5320 Highway 29",33.239009,-84.812027,39.3162826420891,67402.3067292645,1302,651081,424533,124449,25947,59642,16510
"4649","5325 Highway 29",33.239336,-84.813152,38.5611570247934,67258.6446280992,363,187969,105779,52658,6902,17383,5247
"4650","5333 Bells Ferry Rd",34.080747,-84.575815,40.1229508196721,94538,61,46281,36838,4120,1210,3355,758
"4651","5333 Bells Ferry Rd Ste 201",34.080784,-84.575037,47.7,68318.1428571429,28,14202,10088,1416,623,1736,339
"4652","5337 Alabama Hwy",34.913429,-85.123643,40.9443181818182,66172.6856321839,1760,707448,539830,72076,20114,57086,18342
"4653","5338 Thompson Bridge Rd",34.415628,-83.903146,42.3902564102564,59168.0055865922,195,74113,57921,2944,747,11434,1067
"4654","5339 Us 411 S",34.696821,-84.739037,37.2857142857143,56467.8571428571,14,5835,4798,92,13,691,241
"4655","5341 Highway 20 S",33.549442,-84.016694,38.1802035152636,67804.0594243268,1086,275346,144317,101068,5193,15883,8885
"4656","5341 Old Highway 5",34.140556,-84.504289,38.6161255411255,90643.117965368,924,260227,199922,23734,5935,23351,7285
"4657","5343 Highway 20 S",33.548747,-84.017612,37.7064,67972.948,250,152273,85071,49633,2660,10303,4606
"4658","5345 Peachtree Industrial Blvd",33.961604,-84.208872,36.1244019138756,76500.9064039409,209,145917,74869,32835,12835,21194,4184
"4659","5345 Roswell Rd",33.901121,-84.379171,34.8633802816901,74287.985915493,71,53415,27104,12629,4126,8103,1453
"4660","5347 Peachtree Industrial Blvd",33.8943,-84.305309,37.81675,81032.5775,800,483556,232819,140878,36606,59949,13304
"4661","5349 W Currahee St",34.604234,-83.238562,40.3081081081081,48383.472972973,74,31953,25271,3543,379,1726,1034
"4662","535 Canton Rd",34.222681,-84.154138,39.5691729323308,92597.8909774436,266,121637,95958,7251,5994,9278,3156
"4663","535 Glynn St N",33.458275,-84.452946,40.155652173913,79517.2695652174,115,67588,30084,29189,2155,4075,2085
"4664","535 Lee St SW",33.740456,-84.414321,36.85,62177.3951612903,124,80620,25359,42280,2767,8403,1811
"4665","5350 Floyd Rd SW",33.824902,-84.576599,36.5958263772955,68296.5943238731,599,360948,144955,146453,8724,52474,8342
"4666","5355 Lawrenceville Hwy NW",33.887014,-84.158387,37.6369047619048,67185.0119047619,84,56958,20381,15332,7943,12645,657
"4667","536 W Broad Ave",31.32005,-83.923134,37.5033898305085,55442.8363636364,59,25857,16186,7601,237,1200,633
"4668","5365 Highway 20",33.815259,-83.934433,37.7125,68481.0138888889,144,95422,46214,34967,2421,8941,2879
"4669","5369 Laurel Island Pkwy",30.825455,-81.661905,41.1434782608696,75280.3043478261,92,63375,45697,9578,1167,5060,1873
"4670","537 Glynn St N",33.458656,-84.45257,37.5192,70537.7272727273,125,95000,38340,43081,2639,8038,2902
"4671","5371 Laurel Island Pkwy",30.825546,-81.661795,40.3188709677419,64948.7905844156,620,382299,248045,59120,13222,50467,11445
"4672","5374 Five Forks Trickum Rd SW",33.841806,-84.129643,39.469696969697,76001.5757575758,66,38971,20604,10759,3742,2929,937
"4673","5375 Glade Rd SE",34.084896,-84.676716,39.6867647058824,65493.4411764706,204,125549,92432,14849,4154,11087,3027
"4674","5386 Buford Hwy",33.946846,-84.200825,36.9379310344828,69882.724137931,29,20583,9576,3661,2074,4687,585
"4675","5390 Riverdale Rd",33.608672,-84.435275,35.2852470424495,58749.8078817734,1437,819878,247236,457161,26452,65291,23738
"4676","5394 Thomaston Rd",32.833356,-83.737908,39.483595505618,59920.9600912201,890,475458,277555,113790,16208,54813,13092
