"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"1465","1780 Lee Rd",33.756783,-84.651956,37.328313253012,64280.2771084337,166,95238,41338,37984,2144,11737,2035
"1466","1780 S Zack Hinton Pkwy",33.426158,-84.14348,36.8177105831533,68345.3006535948,463,264634,137268,92295,6026,21173,7872
"1467","1782 Highway 19 N",32.943805,-84.334504,43.91484375,49107.6388888889,256,54701,40968,10665,353,1314,1401
"1468","1785 Browns Bridge Rd",34.283946,-83.847322,35.1958115183246,55260.0481283422,191,120703,67546,11761,2432,37285,1679
"1469","1785 Panola Rd",33.620509,-84.235038,38.8593625498008,62527.9094650206,251,140429,35853,81564,4312,15020,3680
"1470","1786 Washington Rd",33.504867,-82.502673,39.89229390681,55381.7345454545,558,197653,127998,47257,2236,14836,5326
"1471","1786 Washington Rd",33.504877,-82.502671,39.7689903846154,57654.8588807786,416,198741,119511,53817,5526,13356,6531
"1472","1787 Cobb Pkwy S",33.90869,-84.49098,35.7813953488372,61934.4047619048,172,100604,39971,38601,5796,13289,2947
"1473","17874 Highway 67",32.406611,-81.76204,34.2148095909732,56789.4374079529,713,258829,175140,52985,5330,16859,8515
"1474","1790 Commerce Rd",33.995027,-83.380099,39.4870292887029,56375.7425531915,478,216802,151448,31488,4668,24076,5122
"1475","1790 Howell Mill Rd NW",33.803631,-84.414613,38.1639013452915,78641.201793722,446,298073,142936,104797,13787,28872,7681
"1476","1790 Williams Rd",32.568578,-84.966799,40.1054521276596,68608.2822580645,752,357814,239133,69755,11146,26494,11286
"1477","1795 Beaver Ruin Rd",33.93531,-84.159178,36.2365930599369,69550.6166134185,317,253458,109392,71199,22909,43459,6499
"1478","1798 US Highway 84",31.090818,-84.995606,42.5397894736842,53442.9915789474,475,178736,129135,32243,2369,10926,4063
"1479","18 Bellamy Ct",33.53418,-84.200075,42.4051282051282,63012.3142857143,39,31919,11323,14851,1723,2710,1312
"1480","18 Blue Ridge Overlook",34.340546,-84.023211,41.1106571936057,72040.9076376554,563,158993,130567,6299,2999,16276,2852
"1481","18 E Currahee St",34.576448,-83.313899,41.7977272727273,56232.3409090909,44,17876,14411,1795,175,1145,350
"1482","18 E Parrish St",32.458246,-81.779578,33.25,45207.25,16,8986,4104,3874,28,757,223
"1483","18 Highway 72 E",34.064522,-83.127676,42.8418604651163,54149.7364341085,258,85030,66581,10369,1367,4875,1838
"1484","18 Highway 72 E",34.064666,-83.127628,42.7834080717489,49791.4349775785,446,117577,86486,20831,955,6232,3073
"1485","18 W Jefferson St",31.862302,-82.60452,37.8974025974026,41766.9701492537,77,20691,13778,4522,24,2291,76
"1486","180 Butterworth Rd",34.20304,-84.506422,39.9620098039216,77702.375,408,235217,173375,22126,5686,28059,5971
"1487","180 Highway 441 N",34.880581,-83.395856,46.2621935483871,58600.6588845655,775,292231,208683,38764,10008,27736,7040
"1488","180 Ponce de Leon Ave NE",33.773034,-84.381469,37.3941176470588,64574.6071428571,204,134967,53407,54900,8768,14078,3814
"1489","180 Ralph David Abernathy Blvd SW",33.736516,-84.393785,36.8437837837838,57863.6,185,102527,40602,45680,4309,8879,3057
"1490","180 W Clinton St",33.00791,-83.540202,39.6595238095238,51226.1238095238,210,55677,36548,16333,354,1283,1159
"1491","1800 Beaver Ruin Rd",33.934758,-84.15699,37.1754277891855,70333.2260509993,1461,985390,505901,217771,76684,156603,28431
"1492","1800 Dogwood Dr SE",33.642461,-83.98425,38.3412813738441,64920.9415670651,1514,429718,163578,219596,8328,27527,10689
"1493","1800 Dothan Rd",30.920739,-84.602687,40.4526717557252,47111.8917874396,1048,280472,177842,65153,5548,25193,6736
"1494","1800 E Oglethorpe Blvd",31.570504,-84.10405,38.1438016528926,52634.8165137615,121,56446,29506,21881,635,2695,1729
"1495","1800 Highway 138 NE",33.670554,-83.986643,37.6465721040189,62203.5676328502,423,230392,102827,97471,7189,17025,5880
"1496","1800 Pine St",32.257649,-83.7384,41.54,42101.8043478261,50,13093,6033,5214,7,1591,248
"1497","1801 12th Ave",32.479727,-84.976088,37.7881773399015,44584.3015075377,203,80224,42509,29364,1525,4022,2804
"1498","1801 12th Ave",32.479736,-84.976108,38.6765432098765,40226.7407407407,81,28163,17276,8222,317,1473,875
"1499","1801 Delowe Dr SW",33.705853,-84.457641,36.0606382978723,52221.4042553191,94,71408,13617,49248,2041,4386,2116
"1500","1801 Highway 138 NE",33.669479,-83.985928,37.6654377880184,58366.0048076923,217,129402,55834,55462,4350,11150,2606
"1501","1801 Rock Chapel Rd",33.738412,-84.08615,38.4451754385965,65560.8421052632,228,148606,48542,77650,4164,14270,3980
"1502","1801 Sigman Rd NW",33.686816,-84.043229,39,66619.3333333333,100,55744,26053,23689,850,3835,1317
"1503","1803 Pio Nono Ave",32.825483,-83.663104,38.5345276872964,49209.9003436426,307,142695,75322,52381,4273,8445,2274
"1504","1804 Beaver Ruin Rd",33.937453,-84.159945,36.744,63188.52,100,75178,24335,23152,10307,14834,2550
"1505","1804 Flat Shoals Rd SW",33.649368,-84.046633,38.0070512820513,68869.7564102564,156,70084,24076,38020,1195,5157,1636
