year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2019,7,4,va,US,1219666,457660,534226,327898
2019,7,4,vi,US,157,107,0,0
2019,7,4,vt,US,61100,25896,28734,18089
2019,7,4,wa,US,883311,321448,374664,230622
2019,7,4,wi,US,866521,338078,400272,242552
2019,7,4,wv,US,235814,98719,116453,73197
2019,7,4,wy,US,84496,33531,33331,20419
2019,7,4,yt,CA,279,219,279,219
2019,7,5,ALL,"",60224829,18397804,23027904,13496215
2019,7,5,ALL_CA,CA,362315,267725,362315,267725
2019,7,5,ALL_US,US,59862514,18130538,22665589,13228490
2019,7,5,ab,CA,41768,32409,41768,32409
2019,7,5,ak,US,82670,29728,29599,19021
2019,7,5,al,US,1197686,360149,465059,262715
2019,7,5,ar,US,654707,205581,267642,151807
2019,7,5,as,US,35,26,28,24
2019,7,5,az,US,1046427,320837,387730,232262
2019,7,5,bc,CA,48684,38168,48684,38168
2019,7,5,ca,US,6203684,1790609,2159445,1279658
2019,7,5,co,US,1013622,321505,343563,207079
2019,7,5,ct,US,515500,172888,213607,123874
2019,7,5,dc,US,137073,57051,0,0
2019,7,5,de,US,179458,64623,63353,38273
2019,7,5,fl,US,4772170,1370192,1610580,927358
2019,7,5,ga,US,2405517,714030,894458,509491
2019,7,5,gu,US,1422,770,792,598
2019,7,5,hi,US,304325,75458,75569,47250
2019,7,5,ia,US,618167,199427,256613,144860
2019,7,5,id,US,242466,81970,98122,56491
2019,7,5,il,US,2391656,787860,950822,558991
2019,7,5,in,US,1229004,408261,513905,298743
2019,7,5,ks,US,597444,205785,265539,154689
2019,7,5,ky,US,838545,274921,336781,195173
2019,7,5,la,US,981727,283345,372790,208014
2019,7,5,ma,US,900933,311475,348421,207150
2019,7,5,mb,CA,10962,8158,10962,8158
2019,7,5,md,US,1009823,337904,385406,229718
2019,7,5,me,US,180685,66294,70131,42445
2019,7,5,mi,US,1662950,584692,700835,417565
2019,7,5,mn,US,838386,305931,338231,207306
2019,7,5,mo,US,1309533,425013,512802,298976
2019,7,5,mp,US,543,388,541,387
2019,7,5,ms,US,661613,198373,261762,146296
2019,7,5,mt,US,132503,46094,48791,29131
2019,7,5,nb,CA,6381,4615,6381,4615
2019,7,5,nc,US,2103602,673750,824466,476970
2019,7,5,nd,US,111815,41184,48900,29216
2019,7,5,ne,US,404129,138132,174394,102381
2019,7,5,nh,US,204248,72969,79061,46639
2019,7,5,nj,US,1741597,560172,676112,389189
2019,7,5,nl,CA,3640,2669,3640,2669
2019,7,5,nm,US,259559,89537,98845,58902
2019,7,5,ns,CA,8136,5933,8136,5933
2019,7,5,nt,CA,257,200,257,200
2019,7,5,nu,CA,135,94,135,94
2019,7,5,nv,US,733047,187460,189750,114737
2019,7,5,ny,US,3203850,1055730,1197192,713799
2019,7,5,oh,US,2141275,719320,906512,530196
2019,7,5,ok,US,863401,260462,351158,194680
2019,7,5,on,CA,161798,116616,161798,116616
2019,7,5,or,US,603244,200541,219001,133348
2019,7,5,pa,US,1998853,707223,820137,496545
2019,7,5,pe,CA,1208,884,1208,884
2019,7,5,pr,US,99205,53388,63378,43768
2019,7,5,qc,CA,69615,50445,69615,50445
2019,7,5,ri,US,164452,57841,61626,36134
2019,7,5,sc,US,1143121,362479,410591,235466
2019,7,5,sd,US,144592,52942,56018,33828
2019,7,5,sk,CA,9470,7330,9470,7330
2019,7,5,tn,US,1463803,451365,549961,315338
2019,7,5,tx,US,6076963,1722045,2275619,1276951
2019,7,5,ut,US,492120,150603,185867,104791
2019,7,5,va,US,1409471,453773,540126,314326
2019,7,5,vi,US,271,173,0,0
2019,7,5,vt,US,73924,29942,31477,19873
2019,7,5,wa,US,1014967,339829,392592,239854
2019,7,5,wi,US,943902,332113,388506,233885
2019,7,5,wv,US,272355,103396,120237,73430
2019,7,5,wy,US,84474,31694,31146,18899
2019,7,5,yt,CA,261,204,261,204
2019,7,6,ALL,"",57641755,18456604,22644282,13540476
2019,7,6,ALL_CA,CA,345742,254753,345742,254753
2019,7,6,ALL_US,US,57296013,18202260,22298540,13285723
2019,7,6,ab,CA,40948,31549,40948,31549
2019,7,6,ak,US,79556,29475,30050,19385
2019,7,6,al,US,1153832,372635,462735,266764
2019,7,6,ar,US,601558,204270,258975,151014
2019,7,6,as,US,31,25,29,23
2019,7,6,az,US,1014805,322678,391410,235549
2019,7,6,bc,CA,47621,36513,47621,36513
2019,7,6,ca,US,6033603,1797337,2134120,1279140
2019,7,6,co,US,965418,309834,332588,200649
2019,7,6,ct,US,512390,192836,224512,135431
2019,7,6,dc,US,118952,51185,0,0
2019,7,6,de,US,176185,68774,65960,40893
2019,7,6,fl,US,4584678,1394344,1588474,938094
2019,7,6,ga,US,2305943,700713,865130,499042
2019,7,6,gu,US,1430,756,803,587
2019,7,6,hi,US,293938,75232,78098,47467
2019,7,6,ia,US,565043,191313,240452,138646
2019,7,6,id,US,230872,82464,95811,56920
2019,7,6,il,US,2293318,773397,916335,545298
2019,7,6,in,US,1152900,407564,495972,296798
2019,7,6,ks,US,561542,193765,249703,146307
2019,7,6,ky,US,784031,276154,326653,195486
2019,7,6,la,US,938060,288954,365858,209860
2019,7,6,ma,US,909722,352425,375298,230700
2019,7,6,mb,CA,10281,7628,10281,7628
